"","V1","title","address","city","phone","fax","website","email"
"1","American Embassy in Algiers, Algeria","Embassy of United States in Algiers, Algeria ","05 Chemin Cheikh Bachir Ibrahimi , 05 Chemin Cheikh Bachir Ibrahimi El-Biar 16030 , Algeria","CITYAlgiers","PHONE(+213) 770-08-2000","FAX(+213) 770-08-2064","WEBSITEhttp://algiers.usembassy.gov","EMAIL-"
"9","American Embassy in Luanda, Angola","U.S. Embassy in Luanda, Angola ","Rua Houari Boumeddienne #32, C.P. 6468, Luanda, Angola","CITYLuanda","PHONE(+244) 222 64 1000 / 222 44 5481 and (+244) 222 44 7028 / 222 44 6224","FAX(244) 222-641-232","WEBSITEhttp://luanda.usembassy.gov","EMAILeconusembassyluanda@yahoo.com"
"17","American Embassy in Cotonou, Benin","U.S. Embassy in Cotonou, Benin ","Caporal Bernard Anani 01BP 2012, Cotonou, Benin","CITYCotonou","PHONE(229) 21 30 06 50","FAX(229)21 30 03 84","WEBSITEhttp://cotonou.usembassy.gov","EMAIL-"
"25","American Embassy in Gaborone, Botswana","U.S. Embassy in Gaborone, Botswana ","Embassy Drive, Government Enclave, Gaborone, Botswana","CITYGaborone","PHONE(+267) 395-3982","FAX(+267) 318-0232","WEBSITEhttp://botswana.usembassy.gov","EMAILircgaborone@state.gov"
"33","American Embassy in Ouagadougou, Burkina Faso","U.S. Embassy in Ouagadougou, Burkina Faso ","Ouagadougou, Burkina Faso, Rue 15.873, Avenue Sembène Ousmane, Ouaga 2000, Secteur 15","CITYOuagadougou","PHONE(226) 50-49-53-00","FAX(226) 50-49-56-28","WEBSITEhttp://ouagadougou.usembassy.gov","EMAILamembouaga@state.gov"
"41","American Embassy in Bujumbura, Burundi","U.S. Embassy in Bujumbura, Burundi ","B.P. 1720 Avenue Des Etats-Unis, Bujumbura, Burundi","CITYBujumbura","PHONE+257 22-207-000","FAX+257 22-222-926","WEBSITEhttp://bujumbura.usembassy.gov","EMAIL-"
"49","American Embassy in Yaounde, Cameroon","U.S. Embassy in Yaounde, Cameroon ","Avenue Rosa Parks, P.O. Box 817, Yaounde, Cameroon","CITYYaounde","PHONE(237) 2220-1500","FAX(237) 2220-1500, ext. 4531","WEBSITEhttp://yaounde.usembassy.gov","EMAIL-"
"57","American Embassy in Praia, Cape Verde","American Embassy in Praia, Cape Verde ","Rua Abilio Macedo 6, Cape Verde, Praia","CITYPraia","PHONE(238)-260-89-00","FAX(238)-261-13-55","WEBSITEhttp://praia.usembassy.gov","EMAILpraiaconsular@state.gov"
"65","American Embassy in Ndjamena, Chad","Embassy of United States in Ndjamena, Chad ","Avenue Felix Eboue, B.P. 413 N'Djamena, Chad","CITYNdjamena","PHONE(235) 2251-70-09","FAX(235) 2251-56-54","WEBSITEhttp://ndjamena.usembassy.gov","EMAILNdjamena-Consular@state.gov"
"73","American Embassy in Djibouti Ville, Djibouti","Embassy of United States in Djibouti Ville, Djibouti ","Lot 350-B Haramouss, B.P. 185, Djibouti","CITYDjibouti Ville","PHONE(253) 21-45-30-00","FAX(253) 21-45-31-29","WEBSITEhttp://djibouti.usembassy.gov","EMAIL-"
"81","American Embassy in Cairo, Egypt","Embassy of United States in Cairo, Egypt ","5 Tawfik Diab Street, Garden City, Cairo, Egypt","CITYCairo","PHONE(20-2) 2797 3300","FAX(20-2) 2797 3200","WEBSITEhttp://egypt.usembassy.gov","EMAILirccairo@state.gov"
"89","American Embassy in Malabo, Equatorial Guinea","U.S. Embassy in Malabo, Equatorial Guinea ","K-3, Carretera de Aeropuerto,, Al lado de Restaurante El Paraiso","CITYMalabo","PHONE(+240) 333 09 57 41","WEBSITEhttp://malabo.usembassy.gov","EMAIL-","American Embassy in Asmara, Eritrea"
"97","U.S. Embassy in Asmara, Eritrea ","179 Ala Street, P.O. Box 211, Asmara, Eritrea","CITYAsmara","PHONE(291)(1) 12-00-04","FAX(291)(1) 12-75-84","WEBSITEhttp://asmara.usembassy.gov","EMAILusembassyasmara@state.gov","American Embassy in Addis Ababa, Ethiopia"
"105","US Embassy in Ethiopia ","Entoto Street, P.O.Box 1014, Addis Ababa, Ethiopia","CITYAddis Ababa","PHONE011-130-6000","FAX124-2401","WEBSITEhttp://addisababa.usembassy.gov","EMAILpasaddis@state.gov","American Embassy in Libreville, Gabon"
"113","U.S. Embassy in Libreville, Gabon ","Sablière B.P. 4000, Libreville, Gabon","CITYLibreville","PHONE(241) 01-45-71-00","WEBSITEhttp://libreville.usembassy.gov","EMAILusembassylibreville@state.gov","American Embassy in Banjul, Gambia","U.S. Embassy in Banjul, Gambia "
