id,country_code,lat,lng,tweet,,,,
1,ar,23.523078,45.113681,"""     """,,,,
2,nl,-26.265014,28.248846,"""@InaKoegelenberg Selfde dankie Ina! Gatskop dag vir jou """,,,,
3,ht,9.073664,7.424094,"""Lmao https://t.co/7UdADHruYS""",,,,
4,en,9.073664,7.424094,"""Onion market: You will be PROUD of Nigeria after seeing what is going on in Kebbi (photos): https://t.co/N9syj70WHE""",,,,
5,ar,28.39854,36.614784,"""@Abu_Mrabd_Anzi        """,,,,
6,ar,31.1260265,32.3076275,"""   #__""",,,,
7,en,-25.710812,28.386694,"""There was a time when I was using metrorail train just so I can get to town and look for work""",,,,
8,en,-34.1216575,18.4890615,"""#Congestion: N7 South @ N1 Inbound ramp, expect delays #Savewater https://t.co/dBxsV4PFwM""",,,,
9,ar,19.158766,42.8581945,"""    .""",,,,
10,und,-28.4794855,24.669943,"""https://t.co/1vPPEADThD""",,,,
11,ar,29.596249,31.570606,"""@Mera_Official2   """,,,,
12,ar,21.5857105,39.2541285,"""@ahwazna1999 @nasserjabor              ...!      ...!""",,,,
13,ar,21.5857105,39.2541285,"""            .""",,,,
14,ar,29.3888215,48.0663995,""":    https://t.co/aA4XgjmbIz https://t.co/YQIAQBFxDV""",,,,
15,en,29.634341,32.347421,"""current weather in Suez: scattered clouds, 5C91% humidity, wind 2kmh, pressure 1015mb""",,,,
16,ar,29.347893,47.673682,"""                       """,,,,
17,en,-26.2761385,27.968098,"""A very good morning fellow South Africans, happy Friday. Let's continue to build a great SA led by ethical leaders. It is in our hands""",,,,
18,und,-33.2983435,26.51974,""" https://t.co/D8IfTQXUXF""",,,,
19,en,33.8733655,35.8495145,"""Good morning get well soon @aldenrichards02  God bless u #ALDUBxDTBYin11Days""",,,,
20,en,-26.517679,31.462823,"""@SinethembaDee mos def im up and getting ready!!!""",,,,
21,ar,21.5857105,39.2541285,"""  ...""",,,,
22,en,-25.860881,28.1361405,"""My eerste offisiele Riana Nel show Loved it @ririnel @cornel_debeer  @Ernich_Awesome @Poenapoep https://t.co/2xJNlFw2hb""",,,,
23,ar,24.7219435,46.685077,"""   https://t.co/APXQayssdr""",,,,
24,en,-26.058708,28.060613,"""Woah! I'm shook. https://t.co/Vkj9LPWJC0""",,,,
25,und,-33.980289,18.676047,"""Co https://t.co/N1AwYH2IbD""",,,,
26,ar,25.47149,51.3601085,"""     .""",,,,
27,en,-1.2748635,36.86362,"""Background info on #OneCityOnePeople -the report offers a broad overview OG existing living conditions in Mukuru""",,,,
28,tr,35.135671,33.437825,"""Gnaydn gzel Trkiye nin sekler insanlar. Ne diyoruz #HAYIR""",,,,
29,en,-26.0197195,27.9574575,"""@HellmannsZA Hi. May I please speak to you regarding a possible business proposal? Thank you.""",,,,
30,en,36.8196825,34.660455,"""current weather in Mersin: clear sky, 8C100% humidity, wind 4kmh, pressure 1037mb""",,,,
31,und,21.38543,40.4908105,"""@As_Bawazeer""",,,,
32,ar,33.224875,43.6853045,"""                https://t.co/z3Ku2i1e4E""",,,,
33,ar,30.8326565,29.733514,"""@BEAUTIFULPlCS    """,,,,
34,en,-26.2761385,27.968098,"""Please be safe guys""",,,,
35,en,31.6727,36.4648745,""".@BBCWorld @BBCNews Patronising and arrogant. Tony Blair could bugger off""",,,,
36,fa,32.3965425,53.6749745,"""  :         !         https://t.co/ABfsWB4ExJ""",,,,
73,ar,30.8326565,29.733514,"""              . https://t.co/ifeRA52CFc""",,,,
37,en,23.895049,53.65571,"""I was out cycling 21.06 km with #Endomondo #endorphins https://t.co/VH3Vat9BuF""",,,,
38,en,-1.2748635,36.86362,"""I'm at Usiu road in Nairobi https://t.co/LAbKGqROwg""",,,,
39,tl,-1.220982,36.714519,"""Waiyaki way hakuna Matatu""",,,,
40,ar,24.2599225,45.117129,"""- :        .""",,,,
41,in,-0.067814,37.905184,"""Ukitaka kujua class ya mtu huku Nairobi cheki the display on the toilet window.""",,,,
42,ar,31.9800265,35.7070385,"""@Dubaicharityuae            2004     https://t.co/c3MGXSyg9C""",,,,
43,en,-28.4794855,24.669943,"""Lol Its Almost End of February Musi""",,,,
44,ar,23.523078,45.113681,"""                                    """"""""",,,,
45,ar,24.7219435,46.685077,"""               ""      """"""",,,,
46,ar,31.342382,31.7678535,"""   https://t.co/YaVt7lMhZ4""",,,,
47,hi,-26.2761385,27.968098,"""Shisa bhe https://t.co/o97pC6KZLW""",,,,
48,en,-26.0197195,27.9574575,"""We want new actors in the economic mainstream of the country"," black people must get a space"". President of RSA Jacob Zuma.""""""",,,
49,und,-26.2761385,27.968098,"""Zundi'thwale nakalokuNgezo ngalo zobubele..""",,,,
50,in,29.596249,31.570606,"""Sanah Helwah Umi yang ke 58Semoga Umi dipanjangkan umur, diberkati sepanjang umur umi, diberi kesihatan.Kita oran https://t.co/OsvAoFYVgx""",,,,
51,ar,28.39854,36.614784,"""#      .""",,,,
52,ar,21.5857105,39.2541285,"""      .""",,,,
53,en,-28.4794855,24.669943,"""And then #Zuma says in #SonaResponse it snot racist"," it snot!"" another #bullzumming Eish!#VoteForChange #VoteDA f https://t.co/qFI32NLEy7""""""",,,
54,en,-0.067814,37.905184,"""We are ready to set you into the weekend mood what songs would you like Dj Henrique #HangOutFriday""",,,,
55,en,33.8733655,35.8495145,"""Hello #ALDUBxDTBYin10Days""",,,,
56,en,-26.058708,28.060613,"""Ya hey #ABSAmustpay https://t.co/ihSl9uPt3p""",,,,
57,tl,21.334729,41.137367,"""Tawa Tayo ADN...... #ALDUBxDTBYin10Days https://t.co/xtsWEXnDzh""",,,,
58,de,-29.8193145,30.6453195,"""@Makhiwoxolo3 ...listen via https://t.co/9Y63HmPO8h""",,,,
